Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2023-2025,4,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,15300,15800,500,3.3,1930,4070,6500,18.81,39133,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,31-9097,Phlebotomists,14100,14600,500,3.5,1410,2230,4140,23.91,49731,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-9099,"Healthcare Support Workers, All Other",17000,17400,400,2.4,1930,2650,4980,23.32,48498,High school diploma or equivalent,None,None
State,California,2023-2025,2,33-0000,Protective Service Occupations,439200,448600,9400,2.1,53460,60670,123530,23.54,48958,N/A,N/A,N/A
State,California,2023-2025,3,33-1000,Supervisors of Protective Service Workers,29600,30200,600,2.0,1920,2570,5090,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,33-1011,First-Line Supervisors of Correctional Officers,4800,4800,0,0.0,320,440,760,56.61,117743,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,33-1012,First-Line Supervisors of Police and Detectives,8000,8200,200,2.5,450,600,1250,80.35,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,6500,6600,100,1.5,320,470,890,62.03,129031,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,33-1091,First-Line Supervisors of Security Workers,7700,7800,100,1.3,610,790,1500,27.99,58218,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",2600,2700,100,3.8,210,270,580,35.14,73091,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,33-2000,Firefighting and Prevention Workers,34300,34900,600,1.7,1830,3320,5750,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,33-2011,Firefighters,32900,33400,500,1.5,1730,3180,5410,35.80,74461,Postsecondary non-degree award,None,Long-term on-the-job training
State,California,2023-2025,4,33-2021,Fire Inspectors and Investigators,1100,1100,0,0.0,80,100,180,46.34,96400,Postsecondary non-degree award,5 years or more,Moderate-term on-the-job training
State,California,2023-2025,3,33-3000,Law Enforcement Workers,119600,120900,1300,1.1,7560,11490,20350,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,33-3012,Correctional Officers and Jailers,36200,36100,-100,-0.3,2490,3750,6140,44.83,93253,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,33-3021,Detectives and Criminal Investigators,11800,12000,200,1.7,760,990,1950,53.89,112088,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,33-3041,Parking Enforcement Workers,1500,1500,0,0.0,160,150,310,28.73,59765,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,33-3051,Police and Sheriff's Patrol Officers,69700,70900,1200,1.7,4100,6560,11860,52.34,108869,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,33-9000,Other Protective Service Workers,255600,262600,7000,2.7,42150,43290,92440,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,33-9011,Animal Control Workers,1100,1200,100,9.1,120,90,310,29.00,60340,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,33-9021,Private Detectives and Investigators,4900,5000,100,2.0,410,490,1000,29.47,61301,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,33-9031,Gambling Surveillance Officers and Gambling Investigators,1800,1900,100,5.6,210,270,580,17.99,37418,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,33-9032,Security Guards,178200,183600,5400,3.0,20930,26900,53230,18.19,37837,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,33-9091,Crossing Guards and Flaggers,9200,9300,100,1.1,3160,960,4220,22.92,47672,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",11200,11600,400,3.6,3640,3060,7100,17.53,36457,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,33-9093,Transportation Security Screeners,8700,9000,300,3.4,760,860,1920,25.08,52177,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,33-9094,School Bus Monitors,1400,1400,0,0.0,400,130,530,17.83,37084,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,33-9099,"Protective Service Workers, All Other",39000,39600,600,1.5,12530,10530,23660,17.80,37021,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,2,35-0000,Food Preparation and Serving Related Occupations,1612900,1677800,64900,4.0,282320,334130,681350,17.39,36175,N/A,N/A,N/A
State,California,2023-2025,3,35-1000,Supervisors of Food Preparation and Serving Workers,171600,180100,8500,5.0,17210,32960,58670,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,35-1011,Chefs and Head Cooks,20800,22000,1200,5.8,1660,3380,6240,31.36,65221,High school diploma or equivalent,5 years or more,None
State,California,2023-2025,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,150800,158100,7300,4.8,15550,29580,52430,20.88,43439,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,35-2000,Cooks and Food Preparation Workers,479900,498500,18600,3.9,71660,81560,171820,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,35-2011,"Cooks, Fast Food",155200,156400,1200,0.8,21250,25400,47850,17.14,35663,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-2012,"Cooks, Institution and Cafeteria",25100,26600,1500,6.0,3530,4220,9250,20.27,42143,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-2013,"Cooks, Private Household",4000,3900,-100,-2.5,540,650,1090,16.32,33927,Postsecondary non-degree award,Less than 5 years,None
State,California,2023-2025,4,35-2014,"Cooks, Restaurant",152900,165100,12200,8.0,21690,25930,59820,18.80,39112,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
State,California,2023-2025,4,35-2015,"Cooks, Short Order",20700,21200,500,2.4,2850,3410,6760,17.77,36948,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-2019,"Cooks, All Other",3000,3200,200,6.7,420,500,1120,18.18,37795,No formal educational credential,None,Moderate-term on-the-job training
State,California,2023-2025,4,35-2021,Food Preparation Workers,118900,122300,3400,2.9,21380,21460,46240,17.40,36185,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,3,35-3000,Food and Beverage Serving Workers,749300,778000,28700,3.8,147880,179080,355660,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,35-3011,Bartenders,63800,67400,3600,5.6,7120,15300,26020,16.27,33854,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-3023,Fast Food and Counter Workers,420400,436100,15700,3.7,94580,100950,211230,17.05,35453,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-3031,Waiters and Waitresses,235600,243800,8200,3.5,41250,57940,107390,16.03,33342,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-3041,"Food Servers, Nonrestaurant",29400,30800,1400,4.8,4930,4890,11220,17.52,36436,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,3,35-9000,Other Food Preparation and Serving Related Workers,212200,221100,8900,4.2,45580,40530,95010,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,73400,77000,3600,4.9,14410,13550,31560,15.90,33060,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-9021,Dishwashers,66300,68500,2200,3.3,11880,11330,25410,17.27,35924,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",48400,50300,1900,3.9,13260,11520,26680,16.18,33645,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,35-9099,"Food Preparation and Serving Related Workers, All Other",24100,25400,1300,5.4,6030,4130,11460,17.06,35474,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,629600,648400,18800,3.0,79700,91440,189940,18.82,39153,N/A,N/A,N/A
State,California,2023-2025,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,48600,50500,1900,3.9,4530,6160,12590,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,23900,24900,1000,4.2,2530,3050,6580,25.03,52062,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",24700,25700,1000,4.0,2000,3110,6110,29.86,62106,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,37-2000,Building Cleaning and Pest Control Workers,419800,430800,11000,2.6,59440,59230,129670,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",277900,285000,7100,2.6,39200,39140,85440,18.29,38046,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,37-2012,Maids and Housekeeping Cleaners,123500,126700,3200,2.6,18630,16800,38630,18.49,38464,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,37-2019,"Building Cleaning Workers, All Other",5100,5400,300,5.9,730,730,1760,21.53,44787,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,37-2021,Pest Control Workers,13300,13700,400,3.0,880,2570,3850,22.40,46595,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,37-3000,Grounds Maintenance Workers,161300,167100,5800,3.6,15740,26050,47590,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,37-3011,Landscaping and Groundskeeping Workers,141900,147200,5300,3.7,14370,22450,42120,19.13,39770,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3200,3300,100,3.1,220,610,930,22.40,46595,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,37-3013,Tree Trimmers and Pruners,10900,11300,400,3.7,800,2000,3200,30.62,63705,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,37-3019,"Grounds Maintenance Workers, All Other",5200,5400,200,3.8,350,980,1530,22.72,47264,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,2,39-0000,Personal Care and Service Occupations,481700,502800,21100,4.4,68140,105560,194800,17.57,36551,N/A,N/A,N/A
State,California,2023-2025,3,39-1000,Supervisors of Personal Care and Service Workers,34000,35900,1900,5.6,2950,4550,9400,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-1013,First-Line Supervisors of Gambling Services Workers,4400,4600,200,4.5,380,590,1170,31.73,65994,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",17100,18200,1100,6.4,1490,2300,4890,22.76,47348,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,39-1022,First-Line Supervisors of Personal Service Workers,12500,13100,600,4.8,1080,1670,3350,24.47,50891,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,39-2000,Animal Care and Service Workers,39400,41700,2300,5.8,5040,9070,16410,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-2011,Animal Trainers,5600,5900,300,5.4,510,1080,1890,19.43,40418,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,39-2021,Animal Caretakers,33900,35700,1800,5.3,4520,7990,14310,17.70,36791,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,39-3000,Entertainment Attendants and Related Workers,96700,101100,4400,4.6,20570,30230,55200,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-3011,Gambling Dealers,16000,16500,500,3.1,1700,3460,5660,15.50,32240,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-3012,Gambling and Sports Book Writers and Runners,1400,1500,100,7.1,150,310,560,17.29,35945,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-3019,"Gambling Service Workers, All Other",2200,2300,100,4.5,240,480,820,17.44,36279,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",14900,15400,500,3.4,4210,4630,9340,16.97,35297,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,39-3091,Amusement and Recreation Attendants,57400,60500,3100,5.4,13200,19740,36040,16.61,34534,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,39-3092,Costume Attendants,2100,2200,100,4.8,480,720,1300,30.69,63831,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",2000,2100,100,5.0,450,680,1230,18.81,39133,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,39-4000,Funeral Service Workers,5100,5300,200,3.9,490,890,1580,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-4021,Funeral Attendants,1900,2000,100,5.3,180,380,660,18.95,39415,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-4031,"Morticians, Undertakers, and Funeral Arrangers",2200,2300,100,4.5,210,310,620,22.78,47358,Associate's degree,None,Long-term on-the-job training
State,California,2023-2025,3,39-5000,Personal Appearance Workers,122600,126800,4200,3.4,13290,18140,35630,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-5011,Barbers,4100,4200,100,2.4,290,570,960,17.86,37147,Postsecondary non-degree award,None,None
State,California,2023-2025,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",46700,48200,1500,3.2,5660,7130,14290,17.57,36551,Postsecondary non-degree award,None,None
State,California,2023-2025,4,39-5091,"Makeup Artists, Theatrical and Performance",3100,3300,200,6.5,400,640,1240,48.85,101615,Postsecondary non-degree award,None,None
State,California,2023-2025,4,39-5092,Manicurists and Pedicurists,56100,58100,2000,3.6,5640,7580,15220,16.72,34785,Postsecondary non-degree award,None,None
State,California,2023-2025,4,39-5094,Skincare Specialists,12300,12800,500,4.1,1260,2150,3910,18.36,38202,Postsecondary non-degree award,None,None
State,California,2023-2025,3,39-6000,"Baggage Porters, Bellhops, and Concierges",7800,8200,400,5.1,880,1630,2910,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-6011,Baggage Porters and Bellhops,4300,4600,300,7.0,490,900,1690,17.95,37324,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-6012,Concierges,3500,3600,100,2.9,390,720,1210,19.52,40606,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,39-7000,Tour and Travel Guides,8200,8300,100,1.2,1520,1960,3580,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-7010,Tour and Travel Guides,8200,8300,100,1.2,1520,1960,3580,18.81,39133,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,39-9000,Other Personal Care and Service Workers,167700,175600,7900,4.7,23410,39100,70410,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,39-9011,Childcare Workers,56900,57000,100,0.2,8220,10620,18940,17.97,37356,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-9031,Exercise Trainers and Group Fitness Instructors,49700,54600,4900,9.9,6330,12780,24010,28.01,58260,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-9032,Recreation Workers,44600,46700,2100,4.7,6690,11920,20710,17.24,35840,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-9041,Residential Advisors,8800,9200,400,4.5,1010,2090,3500,20.91,43502,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,39-9099,"Personal Care and Service Workers, All Other",7800,8200,400,5.1,1170,1690,3260,17.74,36896,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,2,41-0000,Sales and Related Occupations,1566000,1572500,6500,0.4,185740,224870,417110,19.04,39597,N/A,N/A,N/A
State,California,2023-2025,3,41-1000,Supervisors of Sales Workers,156000,155900,-100,-0.1,11860,17690,29450,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,41-1011,First-Line Supervisors of Retail Sales Workers,126900,127000,100,0.1,9890,14980,24970,23.63,49135,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,29200,28900,-300,-1.0,1960,2710,4370,41.10,85484,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,41-2000,Retail Sales Workers,826100,829500,3400,0.4,130680,141570,275650,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,41-2011,Cashiers,395800,394600,-1200,-0.3,76020,76600,151420,16.71,34736,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-2012,Gambling Change Persons and Booth Cashiers,3100,3200,100,3.2,610,610,1320,17.96,37353,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-2021,Counter and Rental Clerks,73700,75800,2100,2.8,8460,8850,19410,18.82,39132,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-2022,Parts Salespersons,27900,28400,500,1.8,2740,3820,7060,18.50,38480,No formal educational credential,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-2031,Retail Salespersons,325500,327500,2000,0.6,42860,51690,96550,17.29,35956,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,3,41-3000,"Sales Representatives, Services",255900,256900,1000,0.4,15270,29310,45580,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,41-3011,Advertising Sales Agents,9900,9800,-100,-1.0,700,1380,1980,31.15,64775,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-3021,Insurance Sales Agents,50600,50600,0,0.0,3790,4200,7990,32.78,68178,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",60600,60000,-600,-1.0,3340,5470,8210,32.32,67206,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-3041,Travel Agents,6500,6200,-300,-4.6,820,760,1280,24.16,50252,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",128200,130200,2000,1.6,6630,17500,26130,36.43,75771,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",187300,188100,800,0.4,12490,20510,33800,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",36600,36800,200,0.5,2440,4010,6650,56.66,117841,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",150600,151300,700,0.5,10040,16500,27240,32.47,67547,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,3,41-9000,Other Sales and Related Workers,140700,142200,1500,1.1,15440,15790,32730,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,41-9011,Demonstrators and Product Promoters,8900,9100,200,2.2,1990,1270,3460,18.93,39380,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-9021,Real Estate Brokers,18600,19000,400,2.2,1750,1360,3510,0.00,0,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,41-9022,Real Estate Sales Agents,41900,42800,900,2.1,3950,3070,7920,29.31,60958,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-9031,Sales Engineers,11700,11800,100,0.9,720,1400,2220,61.95,128857,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,41-9041,Telemarketers,6300,6000,-300,-4.8,610,1040,1350,18.09,37632,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",9800,9500,-300,-3.1,1530,1090,2320,17.17,35718,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,41-9099,"Sales and Related Workers, All Other",43000,43400,400,0.9,4780,6490,11670,27.42,57038,High school diploma or equivalent,None,None
State,California,2023-2025,2,43-0000,Office and Administrative Support Occupations,2097300,2096500,-800,0.0,220790,246400,466390,23.58,49055,N/A,N/A,N/A
State,California,2023-2025,3,43-1000,Supervisors of Office and Administrative Support Workers,163500,163900,400,0.2,13700,17550,31650,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,163500,163900,400,0.2,13700,17550,31650,32.97,68588,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,3,43-2000,Communications Equipment Operators,10200,10000,-200,-2.0,930,1100,1830,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,43-2011,"Switchboard Operators, Including Answering Service",9700,9400,-300,-3.1,850,1030,1580,21.29,44283,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,43-3000,Financial Clerks,340900,340300,-600,-0.2,38570,36160,74130,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,43-3011,Bill and Account Collectors,19800,19600,-200,-1.0,1910,2260,3970,23.99,49892,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-3021,Billing and Posting Clerks,57700,58700,1000,1.7,5510,6390,12900,23.45,48766,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",192700,193600,900,0.5,25050,19690,45640,25.11,52226,"Some college, no degree",None,Moderate-term on-the-job training
State,California,2023-2025,4,43-3041,Gambling Cage Workers,2400,2400,0,0.0,180,300,480,17.85,37135,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-3051,Payroll and Timekeeping Clerks,27900,27500,-400,-1.4,2680,2870,5150,28.47,59219,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-3061,Procurement Clerks,7400,7400,0,0.0,450,930,1380,24.07,50057,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-3071,Tellers,27600,25700,-1900,-6.9,2390,3020,3510,19.83,41246,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-3099,"Financial Clerks, All Other",5500,5500,0,0.0,410,690,1100,24.79,51565,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,43-4000,Information and Record Clerks,514300,515200,900,0.2,56140,72480,129520,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,43-4011,Brokerage Clerks,4300,4200,-100,-2.3,450,520,870,24.96,51916,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-4021,Correspondence Clerks,1000,1000,0,0.0,100,140,240,20.47,42589,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4031,"Court, Municipal, and License Clerks",13000,13200,200,1.5,1360,1250,2810,27.77,57752,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2023-2025,4,43-4041,"Credit Authorizers, Checkers, and Clerks",1600,1600,0,0.0,120,150,270,21.81,45347,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-4051,Customer Service Representatives,210200,209100,-1100,-0.5,23440,32880,55220,21.99,45739,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4061,"Eligibility Interviewers, Government Programs",30700,31200,500,1.6,2430,2900,5830,29.04,60386,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-4071,File Clerks,12100,11800,-300,-2.5,1470,1440,2610,20.56,42754,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",28700,29900,1200,4.2,3700,5620,10520,17.63,36670,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4111,"Interviewers, Except Eligibility and Loan",22000,22100,100,0.5,2310,2970,5380,23.41,48683,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4121,"Library Assistants, Clerical",7200,7200,0,0.0,1420,1070,2490,22.82,47454,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4131,Loan Interviewers and Clerks,25300,24500,-800,-3.2,1680,2420,3300,23.68,49251,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4141,New Accounts Clerks,2000,1900,-100,-5.0,120,230,250,22.82,47475,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-4151,Order Clerks,21300,20600,-700,-3.3,2010,2720,4030,20.58,42806,"Some college, no degree",None,Short-term on-the-job training
State,California,2023-2025,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",15200,15200,0,0.0,1320,2030,3350,24.59,51152,Associate's degree,None,None
State,California,2023-2025,4,43-4171,Receptionists and Information Clerks,79900,81400,1500,1.9,10210,11210,22920,18.59,38663,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,15700,15800,100,0.6,1500,1970,3570,18.80,39097,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-4199,"Information and Record Clerks, All Other",24000,24500,500,2.1,2510,2960,5970,25.15,52319,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",292100,291400,-700,-0.2,24740,32280,56320,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,43-5011,Cargo and Freight Agents,11700,11700,0,0.0,930,1420,2350,24.06,50036,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-5021,Couriers and Messengers,30000,29800,-200,-0.7,2870,3490,6160,19.61,40771,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-5031,Public Safety Telecommunicators,8100,8200,100,1.2,750,860,1710,36.14,75178,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",24700,25000,300,1.2,1980,2670,4950,23.22,48301,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-5051,Postal Service Clerks,6500,6400,-100,-1.5,630,460,990,28.91,60139,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,43-5052,Postal Service Mail Carriers,31200,30800,-400,-1.3,2510,2110,4220,28.61,59519,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",12800,12500,-300,-2.3,1330,890,1920,25.41,52856,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,4,43-5061,"Production, Planning, and Expediting Clerks",59800,61000,1200,2.0,4690,7530,13420,27.64,57484,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,43-5071,"Shipping, Receiving, and Inventory Clerks",97100,95700,-1400,-1.4,7950,11480,18030,19.54,40657,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",9400,9300,-100,-1.1,1010,1270,2180,19.73,41029,High school diploma or equivalent,None,Short-term on-the-job training
